Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 83 milliseconds, 834859 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 92 milliseconds, 926229 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 82 milliseconds, 828453 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 90 milliseconds, 906043 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 80 milliseconds, 805368 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 91 milliseconds, 911388 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 100 milliseconds, 1002195 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 82 milliseconds, 825862 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 88 milliseconds, 889647 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 96 milliseconds, 969059 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 89 milliseconds, 899599 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 96 milliseconds, 962283 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 87 milliseconds, 877764 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 87 milliseconds, 875072 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 80 milliseconds, 807861 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 91 milliseconds, 910960 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 88 milliseconds, 889168 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 81 milliseconds, 817150 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 88 milliseconds, 888950 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 81 milliseconds, 813499 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 87 milliseconds, 871753 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 81 milliseconds, 819006 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 89 milliseconds, 891566 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 87 milliseconds, 877379 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 83 milliseconds, 830772 ticks
